1,valid,,0.08889,0.07862,0.13245,0.09638,0.20373,0.12031
1,test,,0.09345,0.10517,0.13375,0.12663,0.20333,0.15628
2,valid,,0.09003,0.0768,0.13235,0.09402,0.20392,0.11779
2,test,,0.09543,0.10695,0.13658,0.12875,0.20421,0.1577
3,valid,,0.09085,0.07861,0.13498,0.09675,0.2033,0.11955
3,test,,0.09599,0.10827,0.13878,0.13086,0.20401,0.15876
4,valid,,0.092,0.08043,0.13872,0.09963,0.20608,0.12201
4,test,,0.09617,0.11019,0.14282,0.13489,0.20546,0.16164
5,valid,,0.09372,0.08296,0.14326,0.10331,0.20748,0.12477
5,test,,0.09862,0.11336,0.14705,0.13902,0.20703,0.16469
6,valid,,0.09674,0.0852,0.14655,0.10565,0.21129,0.12728
6,test,,0.1023,0.11769,0.15024,0.1431,0.2103,0.16881
7,valid,,0.10047,0.08841,0.15101,0.10907,0.21531,0.13049
7,test,,0.10524,0.12025,0.15434,0.14625,0.21483,0.17212
8,valid,,0.10287,0.09074,0.15422,0.11182,0.21916,0.13347
8,test,,0.10817,0.12323,0.15736,0.1493,0.22077,0.17621
9,valid,,0.10747,0.09384,0.15782,0.11445,0.22518,0.13694
9,test,,0.11132,0.1263,0.16022,0.15216,0.22621,0.18019
10,valid,,0.11091,0.09637,0.16059,0.11663,0.2316,0.14036
10,test,,0.11447,0.12883,0.1625,0.15427,0.23155,0.18363
11,valid,,0.11306,0.09845,0.16375,0.11914,0.23592,0.14321
11,test,,0.11745,0.13163,0.16544,0.15702,0.23611,0.18704
12,valid,,0.11429,0.09941,0.16646,0.12073,0.24047,0.14535
12,test,,0.11909,0.13352,0.168,0.15938,0.24042,0.19011
13,valid,,0.11757,0.10168,0.16902,0.12265,0.24313,0.14729
13,test,,0.12035,0.13516,0.17165,0.16211,0.24302,0.19242
14,valid,,0.11848,0.1026,0.17246,0.12458,0.24608,0.14914
14,test,,0.12186,0.13675,0.17491,0.16467,0.24565,0.19472
15,valid,,0.1207,0.10428,0.17504,0.12644,0.24801,0.15082
15,test,,0.12277,0.13762,0.17748,0.16646,0.24777,0.19635
16,valid,,0.12177,0.10522,0.17776,0.12806,0.2508,0.15245
16,test,,0.12394,0.13892,0.18058,0.16865,0.25143,0.19881
17,valid,,0.12364,0.10679,0.18066,0.12994,0.25503,0.15474
17,test,,0.12591,0.14065,0.18229,0.17034,0.25455,0.201
18,valid,,0.12439,0.10752,0.18338,0.13145,0.25654,0.15592
18,test,,0.12711,0.14198,0.18384,0.17195,0.25711,0.20297
19,valid,,0.12623,0.1088,0.18479,0.13261,0.2616,0.15816
19,test,,0.12778,0.14287,0.18532,0.17328,0.25986,0.20482
20,valid,,0.12709,0.10972,0.18707,0.13405,0.266,0.16018
20,test,,0.129,0.14408,0.18666,0.17463,0.26287,0.20681
