1,valid,,0.04637,0.03435,0.0747,0.04344,0.1156,0.05509
1,test,,0.01685,0.01769,0.02956,0.02275,0.05077,0.03081
2,valid,,0.04913,0.03652,0.07865,0.04603,0.12258,0.05855
2,test,,0.01701,0.01781,0.03028,0.02318,0.05246,0.03164
3,valid,,0.05073,0.038,0.08129,0.04775,0.125,0.0602
3,test,,0.01763,0.01839,0.03132,0.02385,0.05392,0.03248
4,valid,,0.05167,0.03858,0.08209,0.04836,0.12664,0.06105
4,test,,0.01775,0.01856,0.03165,0.02413,0.05433,0.0328
5,valid,,0.05253,0.0394,0.08374,0.04946,0.12974,0.06253
5,test,,0.01816,0.01893,0.03209,0.02453,0.05562,0.03351
6,valid,,0.05283,0.0396,0.08427,0.04967,0.12963,0.06262
6,test,,0.01859,0.01933,0.03285,0.02506,0.05635,0.03401
7,valid,,0.05338,0.04008,0.08464,0.05009,0.13134,0.06339
7,test,,0.01839,0.01911,0.03242,0.02476,0.05594,0.03372
8,valid,,0.05371,0.04025,0.08466,0.05021,0.13154,0.0635
8,test,,0.01844,0.0192,0.03289,0.02505,0.05642,0.03404
9,valid,,0.0548,0.04127,0.0865,0.05144,0.13316,0.06473
9,test,,0.01891,0.0197,0.03342,0.02551,0.0572,0.03458
10,valid,,0.05525,0.04143,0.0874,0.05167,0.13424,0.06498
10,test,,0.01871,0.01959,0.03312,0.02538,0.05719,0.03454
11,valid,,0.05549,0.04151,0.08771,0.05182,0.13494,0.06522
11,test,,0.01878,0.01967,0.03356,0.02563,0.05782,0.03485
12,valid,,0.05542,0.04159,0.08795,0.052,0.13615,0.0657
12,test,,0.01895,0.01985,0.03355,0.02573,0.05809,0.03507
13,valid,,0.05582,0.04196,0.0887,0.05253,0.13707,0.06626
13,test,,0.01894,0.01982,0.03366,0.02572,0.05811,0.03505
14,valid,,0.05594,0.0423,0.08909,0.05293,0.13781,0.06672
14,test,,0.01919,0.01997,0.03406,0.02597,0.05817,0.03514
15,valid,,0.0561,0.04229,0.08957,0.05304,0.13777,0.06674
15,test,,0.01904,0.01975,0.03383,0.02575,0.05805,0.03499
16,valid,,0.05628,0.04259,0.09019,0.05341,0.13784,0.06699
16,test,,0.01917,0.01992,0.03416,0.02596,0.05878,0.03537
17,valid,,0.05676,0.04273,0.09082,0.0536,0.13948,0.06737
17,test,,0.01937,0.02011,0.03449,0.02619,0.05877,0.03545
18,valid,,0.05674,0.04266,0.0906,0.05352,0.13956,0.06741
18,test,,0.01934,0.02013,0.03473,0.02639,0.05919,0.0357
19,valid,,0.0568,0.04279,0.09165,0.05399,0.14013,0.06778
19,test,,0.0193,0.02005,0.03451,0.02618,0.05903,0.03555
20,valid,,0.05723,0.04306,0.09141,0.05407,0.14019,0.06795
20,test,,0.01932,0.02012,0.03466,0.02635,0.05888,0.03558
