1,valid,,0.01376,0.01051,0.02322,0.01352,0.03833,0.01785
1,test,,0.00606,0.00689,0.01137,0.00894,0.02077,0.01254
2,valid,,0.01671,0.01246,0.02828,0.01613,0.0466,0.02133
2,test,,0.00791,0.00865,0.01434,0.01119,0.02607,0.01566
3,valid,,0.0189,0.01397,0.03173,0.01806,0.05182,0.0237
3,test,,0.0089,0.00972,0.01656,0.01277,0.02864,0.01734
4,valid,,0.02063,0.01517,0.03438,0.01958,0.05604,0.0257
4,test,,0.00949,0.01037,0.01793,0.01375,0.03069,0.01857
5,valid,,0.0215,0.01598,0.03647,0.02079,0.05965,0.02735
5,test,,0.01009,0.01103,0.01871,0.01443,0.0321,0.0195
6,valid,,0.02292,0.01686,0.03798,0.02171,0.06281,0.02874
6,test,,0.01062,0.01159,0.01951,0.01511,0.03357,0.02044
7,valid,,0.0237,0.01748,0.03988,0.0227,0.06545,0.02996
7,test,,0.01086,0.01188,0.02017,0.01556,0.03461,0.02105
8,valid,,0.02452,0.01809,0.04126,0.0235,0.06733,0.03091
8,test,,0.01116,0.01218,0.02061,0.01593,0.03534,0.02153
9,valid,,0.0255,0.0187,0.04271,0.02424,0.06974,0.03192
9,test,,0.01161,0.0126,0.02123,0.01639,0.03593,0.02198
10,valid,,0.02633,0.01927,0.04373,0.02487,0.07185,0.03284
10,test,,0.01183,0.01286,0.02163,0.01676,0.03703,0.0226
11,valid,,0.0268,0.01964,0.04509,0.0255,0.07385,0.03367
11,test,,0.01211,0.0132,0.02202,0.01711,0.03766,0.02307
12,valid,,0.02725,0.01997,0.04598,0.02598,0.07516,0.03429
12,test,,0.01232,0.01341,0.02249,0.01743,0.03835,0.02347
13,valid,,0.02786,0.02046,0.047,0.02659,0.07712,0.03518
13,test,,0.01257,0.01368,0.02287,0.01777,0.03891,0.02387
14,valid,,0.02883,0.02107,0.04807,0.02721,0.07897,0.036
14,test,,0.01264,0.01378,0.0233,0.01805,0.03966,0.02426
15,valid,,0.02938,0.02149,0.04902,0.02781,0.08042,0.03672
15,test,,0.01281,0.01387,0.02335,0.01808,0.04014,0.02448
16,valid,,0.02997,0.02197,0.04976,0.02834,0.08175,0.03743
16,test,,0.01298,0.01407,0.02355,0.01829,0.04057,0.02479
17,valid,,0.0307,0.02246,0.05079,0.02889,0.08301,0.03807
17,test,,0.01326,0.01429,0.02383,0.01849,0.04108,0.02507
18,valid,,0.03123,0.0228,0.05177,0.02941,0.08456,0.03871
18,test,,0.01347,0.01443,0.02414,0.01867,0.04154,0.02533
19,valid,,0.03145,0.02311,0.05227,0.02979,0.086,0.03935
19,test,,0.01367,0.01459,0.02429,0.01877,0.0419,0.02553
20,valid,,0.03204,0.02353,0.05314,0.03029,0.08729,0.03997
20,test,,0.01381,0.0148,0.02457,0.01904,0.04241,0.02586
