1,valid,,0.04368,0.02975,0.06572,0.03622,0.09968,0.04479
1,test,,0.05793,0.06364,0.08322,0.07018,0.11642,0.08048
2,valid,,0.05049,0.0347,0.07686,0.04237,0.11574,0.05219
2,test,,0.06498,0.07273,0.09398,0.08039,0.13052,0.09164
3,valid,,0.05494,0.03796,0.08267,0.04607,0.12541,0.05681
3,test,,0.06905,0.07791,0.09909,0.08579,0.1376,0.09766
4,valid,,0.05839,0.04009,0.08764,0.04864,0.13084,0.05949
4,test,,0.07211,0.08147,0.10257,0.08933,0.14285,0.10173
5,valid,,0.06016,0.04137,0.09117,0.0504,0.1352,0.06143
5,test,,0.0738,0.08331,0.1047,0.09123,0.14672,0.10419
6,valid,,0.062,0.04253,0.0932,0.05166,0.13912,0.06315
6,test,,0.07505,0.08507,0.10685,0.09326,0.15,0.10658
7,valid,,0.06329,0.04347,0.09599,0.05301,0.14297,0.0648
7,test,,0.07624,0.08636,0.10907,0.09492,0.15226,0.10825
8,valid,,0.0647,0.04438,0.09836,0.05422,0.14647,0.06626
8,test,,0.07749,0.08779,0.11076,0.09649,0.15488,0.11012
9,valid,,0.06587,0.04524,0.09986,0.05518,0.14963,0.06763
9,test,,0.07869,0.08896,0.11241,0.09781,0.15706,0.11161
10,valid,,0.06734,0.04596,0.10225,0.0562,0.15243,0.06874
10,test,,0.07985,0.09013,0.11409,0.09912,0.15882,0.11295
11,valid,,0.06831,0.04661,0.10359,0.05696,0.15504,0.06984
11,test,,0.08073,0.09101,0.11505,0.10005,0.16049,0.1141
12,valid,,0.06948,0.0473,0.10492,0.05768,0.15687,0.07072
12,test,,0.08144,0.09191,0.11632,0.10109,0.16237,0.11534
13,valid,,0.07022,0.04794,0.10665,0.05861,0.15859,0.07168
13,test,,0.08226,0.0928,0.11745,0.10208,0.16405,0.11651
14,valid,,0.07129,0.04859,0.10817,0.05942,0.1604,0.07254
14,test,,0.08306,0.0937,0.11843,0.10302,0.16534,0.11757
15,valid,,0.0722,0.04914,0.1093,0.06001,0.16264,0.07343
15,test,,0.08368,0.09433,0.11916,0.10365,0.16663,0.11836
16,valid,,0.07323,0.04972,0.11085,0.06072,0.16439,0.07422
16,test,,0.08459,0.09522,0.12026,0.10459,0.16818,0.11943
17,valid,,0.07438,0.05023,0.11241,0.06137,0.16607,0.07489
17,test,,0.08522,0.09586,0.12114,0.10533,0.16957,0.12033
18,valid,,0.07467,0.05072,0.11367,0.06214,0.16887,0.07601
18,test,,0.08596,0.09665,0.12183,0.10606,0.17103,0.12131
19,valid,,0.07566,0.05117,0.11462,0.06264,0.1705,0.0767
19,test,,0.08628,0.09712,0.12279,0.10677,0.17243,0.12218
20,valid,,0.07625,0.05157,0.11539,0.06306,0.1725,0.07742
20,test,,0.0868,0.09764,0.12375,0.10739,0.17356,0.12286
