1,valid,,0.15142,0.1346,0.22825,0.16577,0.3212,0.19632
1,test,,0.15679,0.17406,0.22305,0.20887,0.3117,0.24654
2,valid,,0.16505,0.14541,0.24741,0.17871,0.34568,0.21114
2,test,,0.16682,0.1884,0.23752,0.22567,0.33643,0.26741
3,valid,,0.17494,0.15404,0.25758,0.18739,0.35796,0.22033
3,test,,0.17611,0.19635,0.25111,0.23585,0.35225,0.27859
4,valid,,0.18396,0.16012,0.26743,0.19402,0.37168,0.22832
4,test,,0.1827,0.20314,0.2624,0.24523,0.36725,0.28906
5,valid,,0.18591,0.16257,0.26885,0.1964,0.37784,0.23197
5,test,,0.1862,0.20763,0.26606,0.24955,0.3737,0.29455
6,valid,,0.18899,0.16532,0.27187,0.19921,0.38649,0.23657
6,test,,0.18917,0.20922,0.27066,0.25196,0.38123,0.29827
7,valid,,0.18965,0.16531,0.27676,0.20099,0.38705,0.23709
7,test,,0.19173,0.2124,0.27339,0.25516,0.38506,0.302
8,valid,,0.19208,0.16705,0.27767,0.20188,0.38989,0.2386
8,test,,0.1942,0.21453,0.27486,0.25712,0.38625,0.30412
9,valid,,0.19521,0.16908,0.28322,0.20498,0.39416,0.24106
9,test,,0.195,0.21667,0.2779,0.26025,0.39282,0.30849
10,valid,,0.19723,0.16929,0.28135,0.20368,0.39637,0.24123
10,test,,0.1947,0.21554,0.27866,0.25961,0.39452,0.30816
11,valid,,0.1934,0.16869,0.28743,0.20697,0.39638,0.24265
11,test,,0.19726,0.21694,0.2811,0.26097,0.39497,0.30887
12,valid,,0.19759,0.17166,0.29141,0.20986,0.39758,0.24489
12,test,,0.1979,0.21895,0.28457,0.26428,0.39797,0.31205
13,valid,,0.20006,0.17348,0.29311,0.2113,0.40128,0.24689
13,test,,0.19881,0.21969,0.28675,0.26564,0.39927,0.31285
14,valid,,0.20053,0.17393,0.29252,0.21141,0.40138,0.24723
14,test,,0.2001,0.22105,0.28685,0.26628,0.40077,0.31416
15,valid,,0.2034,0.17596,0.29172,0.21192,0.40492,0.24909
15,test,,0.20003,0.22102,0.28799,0.2671,0.40283,0.31549
16,valid,,0.20236,0.17342,0.29197,0.20999,0.40348,0.24662
16,test,,0.20182,0.22375,0.2908,0.27026,0.40498,0.31833
17,valid,,0.20067,0.17196,0.29195,0.20912,0.40426,0.2461
17,test,,0.1996,0.22235,0.2892,0.26906,0.40417,0.31745
18,valid,,0.20145,0.17255,0.297,0.21132,0.40574,0.24705
18,test,,0.20282,0.22413,0.29199,0.27056,0.40442,0.31812
19,valid,,0.20298,0.17348,0.29404,0.2106,0.4069,0.24769
19,test,,0.20075,0.22355,0.29102,0.27045,0.40288,0.31793
20,valid,,0.20376,0.17357,0.29726,0.2115,0.40674,0.24773
20,test,,0.20207,0.22432,0.29266,0.27131,0.40544,0.31899
